BTS ASCII format															
															
Type:         	Emg tracks														
Measure unit: 	mV														
															
Tracks:       	14														
Frequency:    	1000 [Hz]														
Frames:       	11111														
Start time:   	0														
															
 Frame	  Time  	Right Rectus femoris  	Right Vastus medialis  	Right Vastus lateralis  	Right Tibialis anterior  	Right Biceps femoris caput longus  	Right Semitendinosus  	Right Gastrocnemius medialis  	Right Gastrocnemius lateralis  	Right Peroneus longus  	Right Soleus  	Right Erector spinae ileocostalis  	Right Tensor fasciae latae  	Right Gluteus maximus  	Right Gluteus medius
134	0.134	-0.0301	0.0127	-0.0021	-0.0002	-0.0905	-0.0049	-0.0124	-0.0684	-0.007	-0.0093	0.0269	-0.0027	0.0016	-0.0037
135	0.135	-0.011	0.0163	-0.0239	0.0051	0.0216	0.0051	0.0018	0.0437	0.0018	0.007	0.0228	-0.0213	0.0021	-0.0032
136	0.136	0.0013	0.024	0.0042	0.0031	0.0674	0.0037	0.0036	0.0589	0.0074	-0.0137	0.0089	-0.014	-0.001	-0.0016
137	0.137	-0.001	0.0166	0.0372	-0.0039	0.0257	0	0.0053	0.0173	0.0022	-0.0327	-0.0004	-0.0206	0.0029	0.0015
138	0.138	0.0092	0.0043	0.0241	-0.0084	0.0131	-0.0031	0.0159	-0.0205	-0.0005	-0.0497	-0.0054	-0.0145	-0.0048	0.0003
139	0.139	0.0073	0.0092	0.0602	-0.0042	-0.0445	0	0.0146	-0.0551	0.002	-0.016	-0.0099	0.0022	-0.0038	0.0039
140	0.14	0.0091	-0.0048	0.1234	0.0058	-0.0756	-0.0064	0.0032	-0.0655	0.0058	0.0275	-0.0139	0.0086	-0.0028	0.0009
141	0.141	0.0321	-0.0069	0.1494	0.0155	-0.0094	0.003	0.0016	-0.0372	-0.0006	0.0216	-0.0101	0.0104	-0.002	0.0029
142	0.142	0.042	0.0013	0.1261	0.0144	0.0163	0.0019	0.0002	-0.0286	0.0002	0.0267	-0.0023	0.0158	0.0005	-0.0028
143	0.143	0.0569	0.0026	0.0764	0.0112	0.0239	0.0051	0.0014	-0.0053	-0.005	0.0313	0.0008	0.0071	0.0042	-0.0036
144	0.144	0.0489	-0.0016	0.0053	0.006	0.0167	-0.0001	0.0069	0.002	-0.002	0.0675	-0.0046	-0.0034	0.0113	0.0001
145	0.145	0.0318	-0.0081	-0.0989	0.0033	0.0359	0.0026	0.0141	0.0213	-0.0027	0.0453	-0.0018	0.0103	0.0105	-0.0006
146	0.146	0.0208	-0.0093	-0.1404	-0.0009	0.0416	-0.0033	0.0001	0.0389	-0.0057	0.0412	0.0042	0.012	0.0162	0.003
147	0.147	0.0067	-0.0147	-0.1277	-0.0002	0.0468	0.0005	-0.0019	0.0123	0.0031	0.001	0.0064	0.0236	0.0213	0.0046
148	0.148	-0.0062	-0.0045	-0.1161	0.0004	0.0422	0.0098	0.0038	-0.0021	0.0094	-0.0786	0.007	0.0127	0.0192	0.0063
149	0.149	-0.0316	0.0049	-0.0849	0.001	0.0379	0.0036	0.0089	0.0022	0.0016	-0.0897	0.0028	-0.0081	0.0148	0.0139
150	0.15	-0.0644	-0.0041	-0.0375	0.0062	0.0019	-0.0067	0.0135	0.0059	0.0046	-0.079	0.0024	0.0006	0.0071	0.0106
151	0.151	-0.0688	-0.0075	0.0747	0.0056	-0.0418	0.0002	0.0066	0.0313	0.0055	-0.0126	-0.0053	-0.0076	-0.0045	0.0075
